filtered_x,filtered_y,dist0,dist1,dist2,packet_ts,qx_0,qy_0,qz_0,qw_0,ax_0,ay_0,az_0,ts_0,qx_1,qy_1,qz_1,qw_1,ax_1,ay_1,az_1,ts_1,qx_2,qy_2,qz_2,qw_2,ax_2,ay_2,az_2,ts_2,qx_3,qy_3,qz_3,qw_3,ax_3,ay_3,az_3,ts_3,qx_4,qy_4,qz_4,qw_4,ax_4,ay_4,az_4,ts_4,qx_5,qy_5,qz_5,qw_5,ax_5,ay_5,az_5,ts_5,qx_6,qy_6,qz_6,qw_6,ax_6,ay_6,az_6,ts_6,qx_7,qy_7,qz_7,qw_7,ax_7,ay_7,az_7,ts_7,qx_8,qy_8,qz_8,qw_8,ax_8,ay_8,az_8,ts_8,qx_9,qy_9,qz_9,qw_9,ax_9,ay_9,az_9,ts_9
1.40,-0.05,0.41,1.69,1.44,121791520,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0100,121746189,-0.002747,0.013733,-0.713614,0.700369,0.0300,-0.0300,-0.0300,121751336,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0500,121755762,-0.002747,0.013733,-0.713614,0.700369,0.0300,0.0100,0.0100,121759457,-0.002747,0.013733,-0.713614,0.700369,0.0300,-0.0300,0.0100,121765207,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0100,121770420,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0100,121775677,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0500,0.0100,121779390,-0.002747,0.013733,-0.713614,0.700369,-0.0100,-0.0300,0.0100,121785163,-0.002747,0.013733,-0.713614,0.700369,-0.0100,-0.0300,0.0100,121790743
1.40,-0.05,0.40,1.72,1.42,121891440,-0.002747,0.013733,-0.713614,0.700369,-0.0100,-0.0300,0.0400,121845494,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0400,121850698,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0400,121856103,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,121860529,-0.002747,0.013733,-0.713614,0.700369,0.0300,0.0100,0.0000,121864967,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,121870498,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,121876029,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,121880448,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,-0.0400,121884163,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,121890665
1.39,-0.05,0.39,1.69,1.34,121991338,-0.002747,0.013733,-0.713614,0.700369,0.0300,0.0100,-0.0400,121944909,-0.002747,0.013733,-0.713614,0.700369,-0.0100,-0.0300,0.0000,121950407,-0.002747,0.013733,-0.713614,0.700369,-0.0100,-0.0300,0.0000,121955630,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,-0.0400,121960012,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,121965351,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,121970564,-0.002747,0.013733,-0.713614,0.700369,-0.0500,0.0100,0.0000,121976102,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,121980547,-0.002747,0.013733,-0.713614,0.700369,0.0300,0.0100,0.0000,121985349,-0.002747,0.013733,-0.713614,0.700369,-0.0500,0.0100,-0.0400,121990560
1.40,-0.04,0.43,1.68,1.44,122091014,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0400,122045418,-0.002747,0.013733,-0.713614,0.700369,-0.0100,-0.0300,0.0000,122050848,-0.002747,0.013733,-0.713614,0.700369,-0.0500,0.0100,0.0000,122055261,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,-0.0400,122060471,-0.002747,0.013733,-0.713614,0.700369,0.0300,-0.0300,0.0000,122066247,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0400,122070613,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,-0.0400,122075019,-0.002747,0.013733,-0.713614,0.700369,0.0300,0.0100,0.0000,122080395,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,122084768,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,122090240
1.39,-0.05,0.35,1.72,1.37,122190987,-0.002747,0.013733,-0.713614,0.700369,0.0300,0.0100,0.0000,122145448,-0.002747,0.013733,-0.713614,0.700369,0.0300,-0.0300,0.0000,122151383,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,122155804,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,122160933,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0500,-0.0400,122165352,-0.002747,0.013733,-0.713614,0.700369,0.0300,0.0100,-0.0400,122170714,-0.002747,0.013733,-0.713614,0.700369,-0.0100,-0.0300,0.0000,122174404,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,122180368,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,-0.0400,122185788,-0.002747,0.013733,-0.713614,0.700369,-0.0500,0.0100,-0.0400,122190213
1.39,-0.04,0.48,1.71,1.41,122291042,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,122245595,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0400,122250835,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,-0.0700,122254545,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,-0.0700,122259774,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,122265075,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0400,122270294,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,122276230,-0.002747,0.013733,-0.713614,0.700369,0.0300,-0.0300,0.0000,122280641,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,-0.0400,122285058,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,-0.0400,122290269
1.38,-0.05,0.46,1.72,1.39,122393580,-0.002747,0.013733,-0.713614,0.700369,-0.0100,-0.0300,0.0000,122344959,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,122350168,-0.002747,0.013733,-0.713614,0.700369,-0.0100,-0.0300,0.0000,122355595,-0.002747,0.013733,-0.713614,0.700369,0.0300,0.0100,0.0000,122360404,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0400,122364816,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0400,122370071,-0.002747,0.013733,-0.713614,0.700369,-0.0100,-0.0300,-0.0400,122375497,-0.002747,0.013733,-0.713614,0.700369,0.0300,-0.0300,0.0400,122379932,-0.002747,0.013733,-0.713614,0.700369,0.0300,0.0100,0.0000,122383637,-0.002747,0.013733,-0.713614,0.700369,-0.0100,-0.0300,0.0000,122389986
1.39,-0.05,0.35,1.70,1.39,122493463,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0500,122445225,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0500,-0.0300,122450444,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0100,122454834,-0.002747,0.013733,-0.713614,0.700369,-0.0500,0.0100,0.0100,122460746,-0.002747,0.013733,-0.713614,0.700369,0.0300,0.0100,0.0100,122465163,-0.002747,0.013733,-0.713614,0.700369,0.0300,0.0100,-0.0300,122470404,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0100,122474788,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0100,122480017,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0100,122484422,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0500,122489886
1.38,-0.05,0.42,1.70,1.35,122590852,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,122544887,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,122550320,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,-0.0400,122554709,-0.002747,0.013733,-0.713614,0.700369,-0.0100,-0.0300,0.0000,122559925,-0.002747,0.013733,-0.713614,0.700369,0.0300,-0.0300,0.0400,122565849,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,122570263,-0.002747,0.013733,-0.713614,0.700369,0.0300,-0.0300,0.0000,122574632,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0400,122579885,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,122585646,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,122590089
1.37,-0.04,0.37,1.69,1.34,122694912,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,122650255,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,122654625,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,122659845,-0.002747,0.013733,-0.713614,0.700369,0.0300,0.0100,-0.0400,122665284,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,-0.0400,122669731,-0.002747,0.013733,-0.713614,0.700369,-0.0100,-0.0300,-0.0400,122674513,-0.002747,0.013733,-0.713614,0.700369,-0.0500,-0.0300,0.0000,122679738,-0.002747,0.013733,-0.713614,0.700369,0.0300,0.0100,-0.0400,122685280,-0.002747,0.013733,-0.713614,0.700369,-0.0100,0.0100,0.0000,122689713,-0.002747,0.013733,-0.713614,0.700369,-0.0100,-0.0300,0.0000,122694146
